date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:57:51	25751/25751	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20May%202024%2022:57:09%20GMT	https://www.braflix.video/movie/653346	C:/My%20Web%20Sites/sdfwdf/www.braflix.video/movie/653346.html	(from https://www.braflix.video/)
17:57:51	22243/22243	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20May%202024%2022:57:09%20GMT	https://www.braflix.video/tv/85937?play=true	C:/My%20Web%20Sites/sdfwdf/www.braflix.video/tv/859376084.html	(from https://www.braflix.video/)
17:57:52	29910/29910	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20May%202024%2022:57:09%20GMT	https://www.braflix.video/tv/85937	C:/My%20Web%20Sites/sdfwdf/www.braflix.video/tv/85937.html	(from https://www.braflix.video/)
17:57:52	22864/22864	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20May%202024%2022:57:10%20GMT	https://www.braflix.video/movie/967847?play=true	C:/My%20Web%20Sites/sdfwdf/www.braflix.video/movie/9678476084.html	(from https://www.braflix.video/)
17:57:52	27587/27587	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20May%202024%2022:57:10%20GMT	https://www.braflix.video/movie/967847	C:/My%20Web%20Sites/sdfwdf/www.braflix.video/movie/967847.html	(from https://www.braflix.video/)
17:57:52	21366/21366	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20May%202024%2022:57:10%20GMT	https://www.braflix.video/movie/799583?play=true	C:/My%20Web%20Sites/sdfwdf/www.braflix.video/movie/7995836084.html	(from https://www.braflix.video/)
17:57:53	25823/25823	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20May%202024%2022:57:10%20GMT	https://www.braflix.video/movie/799583	C:/My%20Web%20Sites/sdfwdf/www.braflix.video/movie/799583.html	(from https://www.braflix.video/)
17:57:53	23896/23896	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20May%202024%2022:57:11%20GMT	https://www.braflix.video/tv/57243?play=true	C:/My%20Web%20Sites/sdfwdf/www.braflix.video/tv/572436084.html	(from https://www.braflix.video/)
17:57:53	31322/31322	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20May%202024%2022:57:11%20GMT	https://www.braflix.video/tv/57243	C:/My%20Web%20Sites/sdfwdf/www.braflix.video/tv/57243.html	(from https://www.braflix.video/)
17:57:54	20601/20601	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20May%202024%2022:57:11%20GMT	https://www.braflix.video/movie/1111873?play=true	C:/My%20Web%20Sites/sdfwdf/www.braflix.video/movie/11118736084.html	(from https://www.braflix.video/)
17:57:54	24791/24791	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20May%202024%2022:57:12%20GMT	https://www.braflix.video/movie/1111873	C:/My%20Web%20Sites/sdfwdf/www.braflix.video/movie/1111873.html	(from https://www.braflix.video/)
17:57:54	20620/20620	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20May%202024%2022:57:12%20GMT	https://www.braflix.video/movie/693134?play=true	C:/My%20Web%20Sites/sdfwdf/www.braflix.video/movie/6931346084.html	(from https://www.braflix.video/)
17:57:54	24788/24788	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20May%202024%2022:57:12%20GMT	https://www.braflix.video/movie/693134	C:/My%20Web%20Sites/sdfwdf/www.braflix.video/movie/693134.html	(from https://www.braflix.video/)
17:57:55	19800/19800	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20May%202024%2022:57:12%20GMT	https://www.braflix.video/movie/940721?play=true	C:/My%20Web%20Sites/sdfwdf/www.braflix.video/movie/9407216084.html	(from https://www.braflix.video/)
17:57:55	23961/23961	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20May%202024%2022:57:13%20GMT	https://www.braflix.video/movie/940721	C:/My%20Web%20Sites/sdfwdf/www.braflix.video/movie/940721.html	(from https://www.braflix.video/)
17:57:55	19929/19929	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20May%202024%2022:57:13%20GMT	https://www.braflix.video/tv/196322?play=true	C:/My%20Web%20Sites/sdfwdf/www.braflix.video/tv/1963226084.html	(from https://www.braflix.video/)
17:57:55	27305/27305	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20May%202024%2022:57:13%20GMT	https://www.braflix.video/tv/196322	C:/My%20Web%20Sites/sdfwdf/www.braflix.video/tv/196322.html	(from https://www.braflix.video/)
17:57:56	20749/20749	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20May%202024%2022:57:13%20GMT	https://www.braflix.video/tv/250670?play=true	C:/My%20Web%20Sites/sdfwdf/www.braflix.video/tv/2506706084.html	(from https://www.braflix.video/)
17:57:56	27962/27962	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20May%202024%2022:57:14%20GMT	https://www.braflix.video/tv/250670	C:/My%20Web%20Sites/sdfwdf/www.braflix.video/tv/250670.html	(from https://www.braflix.video/)
17:57:56	19115/19115	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20May%202024%2022:57:14%20GMT	https://www.braflix.video/tv/241257?play=true	C:/My%20Web%20Sites/sdfwdf/www.braflix.video/tv/2412576084.html	(from https://www.braflix.video/)
